#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	680570	680851	-	LNNEOK_03530	11.1	5.0		RefSeq:WP_001773959.1, SO:0001217, UniParc:UPI0002A1E4B3, UniRef:UniRef100_UPI001CC47350, UniRef:UniRef50_UPI001CC47350, UniRef:UniRef90_UPI001CC47350
contig_1	680817	681059	-	LNNEOK_03535	9.8	10.0		RefSeq:WP_001773960.1, SO:0001217, UniParc:UPI0002A349DE, UniRef:UniRef100_UPI0002A349DE, UniRef:UniRef50_UPI0002A349DE, UniRef:UniRef90_UPI0002A349DE
contig_1	682541	682918	-	LNNEOK_03545	14.4	9.9		RefSeq:WP_001773962.1, SO:0001217, UniParc:UPI0002A3A5D2, UniRef:UniRef100_A0A8E2SDI3, UniRef:UniRef50_A0A793Y985, UniRef:UniRef90_A0A793Y985
contig_1	689813	689914	-	LNNEOK_03570	3.9	9.0		
contig_1	693575	694324	-	LNNEOK_03600	29.6	8.6		RefSeq:WP_001773972.1, SO:0001217, UniParc:UPI0002A1BED6, UniRef:UniRef100_UPI0020771726, UniRef:UniRef50_H8NV10, UniRef:UniRef90_A0A376X043
contig_1	982364	982828	-	LNNEOK_04960	17.1	6.0		
contig_1	1085116	1085280	+	LNNEOK_05430	6.5	9.4		SO:0001217, UniParc:UPI000245E5AA, UniRef:UniRef100_A0A0D6IYW7, UniRef:UniRef50_A0A0D6IYW7, UniRef:UniRef50_A0A398Q8Z5, UniRef:UniRef90_A0A0D6IYW7, UniRef:UniRef90_A0A2X1NLB9
contig_1	1257922	1258152	+	LNNEOK_06295	8.8	9.6		SO:0001217, UniParc:UPI0002A39F42, UniRef:UniRef100_A0A0J2DAY2, UniRef:UniRef50_F4NH36, UniRef:UniRef90_F4NH36
contig_1	1586987	1587793	+	LNNEOK_07935	31.5	5.4		SO:0001217, UniParc:UPI0002A27604, UniRef:UniRef100_A0A377K198, UniRef:UniRef50_A0A377K198, UniRef:UniRef90_A0A377K198
contig_1	1796238	1796480	-	LNNEOK_08920	8.8	5.3		RefSeq:WP_001296383.1, SO:0001217, UniParc:UPI0001E323D1, UniRef:UniRef100_A0A3P1DCG1, UniRef:UniRef50_A0A0A0H097, UniRef:UniRef90_A0A0A0H097
contig_1	1893464	1893583	-	LNNEOK_09380	4.3	7.9		SO:0001217, UniParc:UPI0002A2D63D, UniRef:UniRef100_A0A376HPM1, UniRef:UniRef50_A0A376HPM1, UniRef:UniRef90_A0A376HPM1
contig_1	2150368	2150493	-	LNNEOK_10670	4.7	9.7		SO:0001217, UniParc:UPI00019F4B61, UniRef:UniRef100_A0A0D8W456, UniRef:UniRef50_A0A0D8W456, UniRef:UniRef90_A0A0D8W456
contig_1	2270823	2270921	+	LNNEOK_11385	3.8	6.0		SO:0001217, UniParc:UPI0001E35C7F, UniRef:UniRef100_A0A0D6G5R5, UniRef:UniRef50_A0A0D6G5R5, UniRef:UniRef90_A0A0D6G5R5
contig_1	2352464	2352640	-	LNNEOK_11760	6.5	8.0		SO:0001217, UniParc:UPI0000D50D3D, UniRef:UniRef100_J7QWV4, UniRef:UniRef50_A0A447X5K8, UniRef:UniRef90_A0A376NX57
contig_1	2376218	2376433	+	LNNEOK_11860	7.8	8.0		SO:0001217, UniParc:UPI0002A22CD7, UniRef:UniRef100_A0A2X1K5V9, UniRef:UniRef50_A0A2K1HK41, UniRef:UniRef90_A0A2K1HK41
contig_1	2392032	2392361	-	LNNEOK_11955	11.6	9.2		RefSeq:WP_001332153.1, SO:0001217, UniParc:UPI0001F07EC9, UniRef:UniRef100_A0A0D8W0G5, UniRef:UniRef50_A0A2S8JRI1, UniRef:UniRef90_A0A037YJF7
contig_1	2788434	2788529	+	LNNEOK_13850	3.6	8.2		SO:0001217, UniParc:UPI00016A1843, UniRef:UniRef100_A0A0A2RM61, UniRef:UniRef50_A0A0H3EP55, UniRef:UniRef90_A0A0H3EP55
contig_1	2920320	2920424	-	LNNEOK_14610	3.8	4.1		SO:0001217, UniParc:UPI0001F8C5C4, UniRef:UniRef100_J7QY55, UniRef:UniRef50_J7QY55, UniRef:UniRef90_J7QY55
contig_1	3049401	3049721	+	LNNEOK_15195	12.2	7.7		RefSeq:WP_001540409.1, SO:0001217, UniParc:UPI0002A2B4AF, UniRef:UniRef100_A0A377KEH4, UniRef:UniRef50_A0A454AAJ2, UniRef:UniRef90_A0A454AAJ2
contig_1	3068865	3069023	+	LNNEOK_15300	5.9	6.7		SO:0001217, UniParc:UPI0000DAD11A, UniRef:UniRef100_A0A0D8VVM9, UniRef:UniRef50_A0A376Q1C1, UniRef:UniRef90_A0A376Q1C1
contig_1	3209729	3209905	+	LNNEOK_16035	6.7	9.4		RefSeq:WP_001528418.1, SO:0001217, UniParc:UPI0002A2C73E, UniRef:UniRef100_A0A0J2DSF6, UniRef:UniRef50_A0A376YEX1, UniRef:UniRef90_A0A0J2DSF6
contig_1	3210819	3212042	+	LNNEOK_16045	48.3	9.8		RefSeq:WP_001773856.1, SO:0001217, UniParc:UPI0002A224CA, UniRef:UniRef100_UPI0019BAFB19, UniRef:UniRef50_A0A0H3MM82, UniRef:UniRef90_A0A0H3MM82
contig_1	3222951	3223139	-	LNNEOK_16110	6.9	4.1		SO:0001217, UniParc:UPI00000DF260, UniRef:UniRef100_A0A0D6HPS7, UniRef:UniRef50_A0A0D6HPS7, UniRef:UniRef90_A0A0D6HPS7
contig_1	3240007	3240240	+	LNNEOK_16205	9.0	4.5		RefSeq:WP_000124176.1, SO:0001217, UniParc:UPI0002A204C5, UniRef:UniRef100_A0A0J1WEF1, UniRef:UniRef50_Q8G9X7, UniRef:UniRef90_A0A0B0Z9W0
contig_1	3414259	3414516	+	LNNEOK_17110	9.5	8.0		SO:0001217, UniParc:UPI0001CF561A, UniRef:UniRef100_S1NM01, UniRef:UniRef50_S1NM01, UniRef:UniRef90_S1NM01
contig_1	3443906	3444019	+	LNNEOK_17260	4.3	4.1		SO:0001217, UniParc:UPI000188901F, UniRef:UniRef100_A0A024L788, UniRef:UniRef50_U9XQ50, UniRef:UniRef90_A0A024L788
contig_1	3517387	3517497	+	LNNEOK_17615	4.2	8.1		SO:0001217, UniParc:UPI000260C0B2, UniRef:UniRef100_A0A0K6FA51, UniRef:UniRef50_A0A0K6FA51, UniRef:UniRef90_A0A0K6FA51
contig_1	3581172	3581462	+	LNNEOK_17975	11.2	9.2		SO:0001217, UniParc:UPI0002A389D0, UniRef:UniRef100_S1PAJ9, UniRef:UniRef50_S1PAJ9, UniRef:UniRef90_S1PAJ9
contig_1	3829599	3829718	+	LNNEOK_19135	4.3	6.2		SO:0001217, UniParc:UPI0002A4670A, UniRef:UniRef100_S1PUK7, UniRef:UniRef50_S1PUK7, UniRef:UniRef90_S1PUK7
contig_1	3832552	3834102	+	LNNEOK_19150	59.0	5.7		RefSeq:WP_001529091.1, SO:0001217, UniParc:UPI0002A1A368, UniRef:UniRef100_A0A2G9A3X4, UniRef:UniRef50_A0A1B7JBR9, UniRef:UniRef90_A0A2G9A3X4
contig_1	3842898	3843029	-	LNNEOK_19205	4.8	4.4		SO:0001217, UniParc:UPI0002A1B9FE, UniRef:UniRef100_A0A2X1JK72, UniRef:UniRef50_A0A2X1JK72, UniRef:UniRef90_A0A2X1JK72
contig_1	3865039	3865578	-	LNNEOK_19345	21.1	9.1		RefSeq:WP_000623467.1, SO:0001217, UniParc:UPI00016A2252, UniRef:UniRef100_A0A4C3A994, UniRef:UniRef50_A0A4C3A994, UniRef:UniRef90_A0A4C3A994
contig_1	3946246	3946386	-	LNNEOK_19755	5.3	10.1		SO:0001217, UniParc:UPI000246E8B3, UniRef:UniRef100_A0A1V1G152, UniRef:UniRef50_A0A0K5QUV3, UniRef:UniRef90_A0A377CLX3
contig_1	3948832	3949113	+	LNNEOK_19770	10.6	4.9		SO:0001217, UniParc:UPI0000E44E9A, UniRef:UniRef100_A0A1Y5CTB6, UniRef:UniRef50_V0VKT4, UniRef:UniRef90_V0VKT4
contig_1	4016761	4016940	-	LNNEOK_20095	6.8	4.6		SO:0001217, UniParc:UPI0001E181FC, UniRef:UniRef100_A0A330BV59, UniRef:UniRef50_A0A0H2V4T6, UniRef:UniRef90_A0A330BV59
contig_1	4342816	4343088	+	LNNEOK_21675	10.8	6.4		SO:0001217, UniParc:UPI0002A3F62F, UniRef:UniRef100_A0A785E7J5, UniRef:UniRef50_A0A397WTI7, UniRef:UniRef90_A0A397WTI7
contig_4	138	404	-	LNNEOK_23630	10.2	6.8		RefSeq:WP_001024536.1, SO:0001217, UniParc:UPI000173F977, UniRef:UniRef100_A0A0J2CN89, UniRef:UniRef50_A0A0J2CN89, UniRef:UniRef90_A0A0J2CN89
contig_5	524	1054	+	LNNEOK_23650	20.6	5.5		RefSeq:WP_004153058.1, SO:0001217, UniParc:UPI00015C63F5, UniRef:UniRef100_A0A2P9E855, UniRef:UniRef50_A0A2P9E855, UniRef:UniRef90_A0A2P9E855
contig_5	6275	6403	+	LNNEOK_23695	4.6	10.7		SO:0001217, UniParc:UPI000282F687, UniRef:UniRef100_A0A0J2ILK2, UniRef:UniRef50_A0A0J2ILK2, UniRef:UniRef90_A0A0J2ILK2
contig_6	49770	50282	+	LNNEOK_24030	19.6	9.4		RefSeq:WP_000151784.1, SO:0001217, UniParc:UPI0001E5B7CB, UniRef:UniRef100_A0A0A1AHP1, UniRef:UniRef50_A0A0A1AHP1, UniRef:UniRef90_A0A0A1AHP1
contig_6	85699	85836	-	LNNEOK_24240	4.8	5.0		SO:0001217, UniParc:UPI000245E845, UniRef:UniRef100_A0A2Z5WRB2, UniRef:UniRef50_A0A2Z5WRB2, UniRef:UniRef90_A0A2Z5WRB2
contig_8	23768	23857	-	LNNEOK_24390	3.1	4.6		SO:0001217, UniRef:UniRef50_A0A376W2M5, UniRef:UniRef90_A0A376W2M5
contig_8	24887	25018	-	LNNEOK_24410	4.6	8.0		RefSeq:WP_001280932.1, SO:0001217, UniParc:UPI000173FE2E, UniRef:UniRef100_A0A086V7V2, UniRef:UniRef50_A0A086V7V2, UniRef:UniRef90_A0A086V7V2
contig_8	30803	30946	-	LNNEOK_24450	5.5	5.6		
contig_8	33330	33542	+	LNNEOK_24485	7.5	5.9		
contig_8	45018	45182	-	LNNEOK_24635	6.1	11.6		RefSeq:WP_001331716.1, SO:0001217, UniParc:UPI0001B5AC96, UniRef:UniRef100_A0A0D6IID9, UniRef:UniRef50_A0A826JAA6, UniRef:UniRef50_V0A4A5, UniRef:UniRef90_A0A1X9TRC2, UniRef:UniRef90_A0A3I1AI56
contig_9	116597	116815	+	LNNEOK_25265	8.6	7.8		SO:0001217, UniParc:UPI0000D5088E, UniRef:UniRef100_A0A0D8VXJ5, UniRef:UniRef50_Q32GY0, UniRef:UniRef90_Q32GY0
contig_9	139178	139339	-	LNNEOK_25370	5.8	4.4		RefSeq:WP_000051910.1, SO:0001217, UniParc:UPI000176ADD4, UniRef:UniRef100_A0A0D6IHZ5, UniRef:UniRef50_B7MU29, UniRef:UniRef90_B7MU29
contig_10	13880	14233	+	LNNEOK_25530	13.4	9.0		RefSeq:WP_001322427.1, SO:0001217, UniParc:UPI0001888890, UniRef:UniRef100_A0A148HGA6, UniRef:UniRef50_A0A148HGA6, UniRef:UniRef90_A0A148HGA6
contig_10	15463	15594	-	LNNEOK_25545	4.6	8.0		RefSeq:WP_001280932.1, SO:0001217, UniParc:UPI000173FE2E, UniRef:UniRef100_A0A086V7V2, UniRef:UniRef50_A0A086V7V2, UniRef:UniRef90_A0A086V7V2
contig_12	1917	2096	-	LNNEOK_25600	7.0	7.8		SO:0001217, UniParc:UPI000217D367, UniRef:UniRef100_A0A1T1KJX3, UniRef:UniRef50_A0A0A6ZRT3, UniRef:UniRef90_A0A0A6ZRT3
